"","SRR3051740","SRR3051741","SRR3051742","SRR3051743","SRR3051744","SRR3051745","SRR3051752","SRR3051753","SRR3051754","SRR3051755","SRR3051756","SRR3051757","SRR7054176","SRR7054177","SRR7054178","SRR7054179","SRR7054180","SRR7054181","SRR7054182","SRR7054183"
"Os01g0100600",10.1716853280285,10.3782556791123,10.3914735964157,10.1652020437792,10.2184413459283,10.1644200979406,9.79436806502468,9.96745039668369,10.0154847405407,9.97394572615536,9.99599132903717,10.3056503679575,8.96577580373812,9.08438184245861,9.33821726479943,9.49636529201496,9.60929424111456,9.48929078272659,9.4108601710792,9.48122362987696
"Os01g0100700",9.51424603733289,9.81306997400201,9.6177688864065,9.18964099649895,10.1536587771459,9.17934832770966,8.76444558730171,9.04948213593548,9.05363018562408,9.94135587179773,10.3667335545476,9.91487433857257,9.55624546636445,9.43169327253936,8.9111113425452,8.80544647257246,10.7445385375409,10.8313413435379,10.6027723828525,10.6194963512366
"Os01g0100900",11.0960119163753,10.9849468698906,11.2100591034184,11.282888364491,11.207919433095,11.359625418166,11.3539202335208,11.2790741109143,11.3495259373744,11.4299039320077,11.5095940418333,10.9714911884365,12.2404674573583,12.2411155152164,12.181086597314,12.1586548022542,11.5932016638937,11.5383607847303,11.5519153433049,11.5957899999497
"Os01g0102400",6.06159484710168,5.54695872611784,5.21146516498697,6.44529860023283,6.03820931379964,6.09460951297023,6.16229903527036,6.14394478967117,5.92460572891936,5.31518048651349,5.13857794206826,5.80420898607703,10.7277011267626,10.8017939759853,11.1503462856448,11.1351935222785,2.88408818107861,2.49351832413218,1.26730880407048,1.99158515496072
"Os01g0102600",12.6057812739845,12.5885843412334,12.0611199445816,12.3560273861793,12.4911153549765,12.4327656987748,12.2465886678962,12.2430407113096,12.3467796603628,11.9865283473195,11.8092630252523,12.7036443361855,7.66793006539877,7.03172297973153,8.40549231663926,8.45050649919015,9.87366195750949,9.70410220323992,9.67415556969323,9.8049573979087
"Os01g0102700",9.93893580901125,10.0599594711258,10.1284098832757,10.0372812135396,9.99343715318103,10.1991768936343,10.1781766273846,10.1991768936343,10.1017235142648,10.8365300300664,10.8740389826624,10.3609203276285,10.7397299273204,10.7544542643387,9.97304102115546,10.0154368525677,10.9485046084254,10.846744427381,10.8236594651708,10.8683089253479
"Os01g0102900",15.0765019003853,15.5711104815542,15.8109958432566,14.3130714436995,14.666460594967,15.4318768457677,13.8961432335085,14.4664711347647,14.7147897078323,15.2691148517225,15.5711104815542,15.8109958432566,11.640115061957,11.719082280165,10.6773883828202,10.6654362182637,14.3709227822926,14.3605810771419,14.3709227822926,14.3605810771419
"Os01g0103000",8.08664923413905,8.59152746820177,8.90541493712461,6.35394680950326,7.1074151418141,7.60972476888081,6.70435179100773,6.6402435353716,7.23886407779203,6.86214525154158,7.6013297527396,8.21137993108499,6.84554313929804,7.10088351685946,7.85237823834874,7.83633467280684,6.48593428013579,6.53869423767615,6.76306867695653,7.06585976037102
"Os01g0103100",6.51897745487983,6.49728091758355,7.19327578104568,7.76942065778944,7.06887604083903,6.29767536947173,7.4767317955989,7.39315293191898,7.47353802967507,6.13623095718976,6.19225478205656,6.09197266926301,6.03586145974908,6.75667849191414,4.43262720868453,5.18503551866598,5.16065224121441,4.50333415153593,4.46396214634899,5.01699413048184
"Os01g0103600",9.7717915156421,9.67086529989935,10.0890213970708,9.62657296974141,9.85499956042134,9.95801226033866,9.73488692867493,9.94540982615698,10.0480697008844,10.2619301363831,10.2818756210746,9.79549172760858,9.22805752938189,9.23086271299802,9.16774982434579,9.3543110488432,9.95233722926643,9.93328839352834,9.87552807726938,9.87806647227896
"Os01g0104000",8.95956703405372,8.9409777008744,9.25289235482625,9.21549510500662,9.02460641067797,8.93204821600905,9.40376847809651,9.06223709513902,9.24091653595577,8.89450272666052,9.11275891925899,9.10329043239524,9.95007031854942,9.88986266033032,10.2694836660801,10.1859313716664,9.33643440973587,9.27303665539108,9.04618738252802,9.13922996601746
"Os01g0105300",0,0,1.2451284714967,0,1.99158515496072,0,0,1.84833498836768,0,2.59699470701579,0,2.33804793595419,0.490689059560852,0,1.22044610479794,1.20859414493289,1.21357092861044,2.11855783791576,2.41007084979422,1.99158515496072
"Os01g0105700",4.92144633522484,5.54695872611784,5.73286278709494,5.91409990528046,6.09387380094598,5.17763380910388,6.46612094099689,5.9646647234241,6.60627293109431,5.68686741114715,4.78179640112648,5.3759684199336,5.57447953067093,5.84354694686904,6.1932927100649,5.82561251983489,4.00577943418889,4.32337234383911,3.99728318411678,3.56390585435859
"Os01g0105800",7.52144470981394,7.30533735523033,7.47370031265025,7.98408115256456,7.86481273045865,7.33014075580714,8.34061179150076,8.02236632964508,8.20307256857144,7.05938460397324,7.36859253442513,7.22587054591284,7.62016633507213,7.68321422249157,7.85237823834874,7.92170535203886,6.11951002101645,6.10366318470946,5.60332535036986,5.27377283971069
"Os01g0105900",10.8635159775932,10.7149084392748,10.7727697260282,10.9986376035298,10.6916769977457,10.7909803695103,11.6379314901247,11.37651392897,11.7846054912819,11.1600519293726,11.174810572244,10.5294681758595,11.6485004593992,11.7922352160423,11.627458500093,11.5730343784233,11.2032941191615,11.1242630646948,11.06714888977,11.009263533107
"Os01g0106300",2.6572469185701,3.10264903991445,0,2.51438645174343,3.00936489755223,3.16909141063128,2.34457143254896,2.49016261433925,2.57824265478113,3.32552270401293,4.03228998607405,4.26046285717411,3.37234755689763,4.08628683965088,4.10275192194717,2.99194575782281,5.3849773721971,5.3207992341414,5.04442199485962,5.34859167813014
"Os01g0106500",7.92843134102409,8.32904309539607,8.3270776454932,7.93310141306244,8.11643979522558,8.04622797487178,7.65900751410235,7.74058062255657,7.84146243603851,8.40490661812296,8.60880417017295,8.51527771025667,8.54553619106526,8.88397558580993,8.21630441166931,8.19070447669468,8.35482914831088,8.69217667347172,8.33031294332413,8.52782075807553
"Os01g0106800",9.89242641993517,9.82966565243935,10.0599594711258,9.83959398248955,9.8757005014192,9.74425575648892,9.60469641647595,9.73125889703663,9.81240670684271,9.68828390511375,9.61450626009915,9.56811652490483,8.89994249733587,8.93204821600905,8.96114264062574,8.84156815267846,10.2110248935706,10.2231630735276,10.0038918908407,9.98112988452188
"Os01g0107000",10.9211004190987,10.9041265056251,10.5549417072121,10.7744685145436,10.8480211725158,10.7555085292595,10.8990231912595,10.8211965137233,10.9038508335134,10.1806816758272,10.0623433923155,10.5870818210252,10.0732926646324,10.0305251390797,10.4276109178127,10.5004800291484,9.89668707873347,9.88482043386224,9.96905427160951,9.84424311535335
"Os01g0107400",6.50669038192994,7.21020703253656,7.50636533150287,6.5640533164453,6.67037682719667,6.34083641980146,6.627270441063,6.72026331028194,6.80051088999453,6.24230856136997,6.56648747794245,7.44839761093398,8.50643237314535,8.068169314135,8.54510063245527,8.75787863448501,9.16555436193182,9.1831269584032,9.31216135607658,9.41859722161432
"Os01g0107700",6.78421448823883,7.12299266285688,6.48739699006648,6.1854969216927,6.59364486349674,6.54910260999047,6.68588796377903,6.38293872692158,6.36601935831393,6.13623095718976,6.34394736148377,6.75571211112768,6.67676493730831,6.73422308661789,7.88630562186927,7.44193354909001,7.92973435119986,7.77873644465613,7.36213931556262,7.35199324364422
"Os01g0109700",12.7662557855467,12.7709883788849,13.2536226929456,12.8486428420021,12.5971387535511,12.8124544017302,13.0418642279218,13.0476260223972,13.0325323989331,13.0038900717606,13.0559384151736,12.8661630369814,13.3612213116096,13.3269696271129,13.7157046770403,13.7286569982622,12.7923584141167,12.783853115479,12.8506086058607,12.7770673764479
"Os01g0109750",8.34947031831051,8.65231724483878,8.15180355801293,8.47379467094224,8.44737082319191,8.64382614817361,8.00300973395752,7.9329719070848,8.07963857601219,8.49896726405894,8.49051923298281,8.27222727120823,7.94740169667613,7.646859544445,8.47837127513227,8.40179691315778,8.9587186506203,8.88683592351015,8.90269156984327,8.89155946352396
"Os01g0110100",8.76910300695364,8.48067385855461,8.79331121956585,8.27842754721794,8.17685410784898,8.19495097904821,8.3492230337653,8.40153630450683,8.6282519131039,7.96330124544449,7.86801950071473,8.44534761121738,6.00709077409929,5.38770364590361,6.83658529688097,7.27069457274924,7.74728822436754,7.70335597389577,7.56794656287411,7.52017892269751
"Os01g0110200",3.56390585435859,3.10264903991445,4.29062097280507,3.22500437558943,2.58555712689366,2.47527625813925,0,0,0,0,0,0,0,1.07772553151919,0,2.35479495821592,6.95681295769318,6.73782620275519,7.20115470230935,6.76663274208298
"Os01g0110400",8.74514762172807,8.96914652895982,8.91854526196045,8.97960137479891,8.94924057236621,8.73557793269588,9.38811972289148,8.79555414008485,9.51595692545513,8.73757056602733,8.82261752907494,8.486670108869,10.2813022501167,10.2665738139577,10.1520031383764,10.0688235102446,9.5079496887386,9.68942241508618,9.55894137100561,9.45238424876584
"Os01g0110500",8.19599863674233,8.35084087237493,9.02460641067797,7.62941348239898,7.8387005228628,7.8615204185861,7.59397607651401,7.80468026653519,7.49911603448982,7.66898954024091,8.23444652706647,8.36523985907686,8.96577580373812,8.90590523677061,9.12380504340101,8.96676332068535,9.37762814691253,9.40353147371153,9.42803273821901,9.41131428932805
"Os01g0110800",3.10480247600904,4.45663662487072,3.3416191087573,2.51438645174343,3.75825665744674,2.47527625813925,2.7228125397009,0,3.65703595379306,3.32552270401293,3.69589248258483,4.70634862137161,3.48469227495664,4.75621226179559,2.7924441149992,3.53730738370323,4.30421455836547,4.95353809262544,4.59735991196994,4.1751354863433
"Os01g0111100",9.55115641119566,10.1024761398241,8.38479168214799,8.85793251388652,9.64218163912473,8.86270590026986,6.58670168761978,7.1543509218633,6.49827589545543,8.18841655902648,7.99957678588525,8.43544532689608,4.70571861953263,4.48524759516913,3.2413642215348,3.18414849590588,6.21883523075073,6.59769279514673,6.48343772092653,6.73143292120609
