Protei,ProteinB,co_expression
Os03g0718100,Os05g0574500,0.6083
Os01g0964133,Os05g0574500,0.2021
Os03g0141000,Os04g0484800,0.4916
Os03g0231000,Os09g0361100,-0.2185
Os06g0548000,Os12g0538900,-0.0444
Os06g0105400,Os12g0538900,0.0818
Os11g0546900,Os12g0538900,0.0434
Os09g0560800,Os12g0538900,-0.4599
Os09g0560700,Os12g0538900,0.4395
Os02g0196800,Os12g0538900,-0.0591
Os08g0199300,Os12g0538900,0.2585
Os01g0812800,Os12g0538900,-0.0394
Os08g0326400,Os12g0538900,0.3724
Os09g0507800,Os12g0538900,0.2992
Os01g0775300,Os12g0538900,0.1612
Os03g0213100,Os12g0538900,0.3736
Os02g0786000,Os11g0704300,0.1012
Os03g0809900,Os12g0287200,0.0812
Os02g0653800,Os05g0574500,0.5809
Os05g0106100,Os08g0234000,0.2312
Os11g0169900,Os08g0234000,0.4092
Os03g0294900,Os04g0670150,0.1925
Os01g0951200,Os07g0612500,-0.1662
Os01g0858500,Os07g0612500,-0.2477
Os01g0858500,Os03g0408500,0.5149
Os02g0786000,Os09g0299300,0.2295
Os04g0683500,Os08g0468300,0.3614
Os01g0971500,Os07g0205700,-0.5084
Os01g0234900,Os02g0250300,0.1763
Os08g0536000,Os12g0183100,0.1324
Os03g0796501,Os11g0546000,0.5876
Os07g0180900,Os11g0546000,0.612
Os02g0600100,Os03g0689900,0.2758
Os03g0815200,Os04g0486500,0.0655
Os05g0564200,Os11g0682300,0.6149
Os05g0564200,Os11g0636900,0.5658
Os03g0267000,Os06g0168000,0.0202
Os01g0159400,Os11g0657300,0.1104
Os05g0163700,Os11g0657300,-0.4046
Os02g0171100,Os02g0590800,-0.0508
Os12g0493900,Os02g0796300,-0.0103
Os03g0109600,Os05g0530500,0.4929
Os05g0373700,Os05g0530500,0.3818
Os03g0666500,Os10g0575200,0.321
Os01g0862300,Os03g0666500,-0.0305
Os01g0862300,Os10g0575200,0.305
Os03g0640400,Os03g0849600,0.1472
Os02g0805200,Os11g0572100,0.5826
Os02g0677700,Os07g0124500,0.3353
Os05g0574500,Os07g0517300,0.0437
Os03g0397500,Os01g0918200,0.33
Os04g0394200,Os09g0482100,0.3124
Os04g0394200,Os03g0401100,-0.1149
Os01g0248600,Os05g0292200,-0.1515
Os01g0248600,Os05g0155500,0.2564
Os03g0242100,Os12g0176500,0.4451
Os04g0691500,Os02g0273700,0.4856
Os04g0691500,Os06g0332400,-0.1981
Os04g0691500,Os12g0443600,-0.3179
Os02g0833300,Os02g0273700,0.0732
Os02g0833300,Os06g0332400,0.4218
Os06g0173100,Os09g0420600,0.4513
Os02g0127000,Os04g0270200,0.3822
Os01g0964133,Os03g0718100,0.7286
Os06g0681400,Os11g0455500,0.6953
Os06g0681400,Os08g0500100,0.2981
Os11g0641200,Os06g0264300,0.2673
Os11g0641200,Os08g0427500,0.306
Os01g0120800,Os04g0670150,0.4479
Os01g0120800,Os10g0400800,0.6679
Os02g0785900,Os07g0517300,0.4974
Os12g0507200,Os04g0654700,0.5489
Os07g0112800,Os04g0654700,0.7624
Os03g0565100,Os03g0715500,0.297
Os01g0703600,Os03g0355600,0.6434
Os04g0551800,Os12g0176500,0.6792
Os01g0685800,Os01g0837500,0.4462
Os01g0685800,Os03g0715500,0.4782
Os02g0246300,Os10g0488100,0.6215
Os02g0739600,Os12g0497400,-0.0126
Os03g0151800,Os04g0574600,-0.0724
Os06g0563300,Os08g0191800,0.1257
Os06g0563300,Os03g0715500,0.559
Os09g0515200,Os10g0111400,-0.2987
Os01g0855900,Os05g0155500,-0.0469
Os07g0166600,Os02g0822300,0.7669
Os06g0168600,Os03g0849600,0.0336
Os05g0594800,Os08g0224700,0.0387
Os01g0811100,Os03g0180400,0.8721
Os01g0811100,Os02g0133800,0.7976
Os08g0538000,Os10g0111400,-0.2108
Os02g0245000,Os07g0517300,-0.0046
Os01g0510100,Os03g0285800,0.5185
Os01g0510100,Os08g0157000,-0.0855
Os01g0510100,Os02g0148100,0.1918
Os06g0147800,Os06g0154500,0.3586
Os06g0147800,Os06g0699400,0.0012
Os08g0468300,Os03g0263500,0.1595
Os08g0468300,Os03g0815700,-0.2905
Os01g0916800,Os09g0568400,0.4365
Os01g0916800,Os03g0234200,0.508
Os03g0792600,Os12g0176500,0.7806
Os05g0301700,Os02g0245000,0.0159
Os03g0851300,Os03g0715500,0.3854
Os01g0772800,Os06g0173100,0.593
Os07g0195400,Os08g0536000,0.2987
Os07g0195400,Os06g0105400,0.1893
Os07g0411200,Os12g0443600,0.4848
Os07g0411200,Os10g0488100,0.6209
Os06g0143900,Os06g0608300,0.7576
Os11g0602600,Os05g0147400,0.5731
Os03g0154700,Os05g0147400,0.4958
Os11g0602600,Os07g0479400,0.412
Os11g0602600,Os03g0108400,0.5655
Os03g0154700,Os07g0479400,0.1958
Os03g0154700,Os03g0108400,0.5307
Os04g0444600,Os11g0456300,0.8504
Os05g0512000,Os11g0615800,0.4845
Os12g0242900,Os08g0468300,0.7321
Os01g0256400,Os09g0492700,0.5817
Os02g0182500,Os05g0187000,0.6487
Os06g0643100,Os02g0245000,0.243
Os03g0833700,Os01g0544450,0.0367
Os03g0833700,Os11g0484300,0.1319
Os10g0410600,Os03g0715500,0.4542
Os03g0204100,Os06g0105400,0.192
Os01g0900200,Os11g0615800,0.4391
Os06g0681400,Os05g0512000,-0.1735
Os02g0757900,Os09g0359800,0.6283
Os06g0219600,Os09g0359800,0.5044
Os10g0575200,Os03g0277300,-0.0527
Os01g0276100,Os07g0517300,0.1191
Os01g0276100,Os01g0918200,0.0893
Os05g0519400,Os09g0347800,0.4361
Os09g0538200,Os09g0492700,0.3986
Os11g0615800,Os09g0104200,0.0086
Os01g0659200,Os06g0127300,0.4591
Os01g0673600,Os12g0605400,0.6061
Os01g0673600,Os04g0684800,0.2077
Os02g0321900,Os02g0126700,0.7774
Os01g0860300,Os02g0126700,0.6148
Os02g0321900,Os03g0715500,0.2376
Os01g0860300,Os03g0715500,0.2457
Os01g0587000,Os12g0443600,0.4742
Os01g0587000,Os03g0715500,0.4092
Os04g0533000,Os09g0424300,0.5675
Os01g0235400,Os06g0105400,-0.0887
Os01g0580100,Os07g0124500,0.3614
Os02g0580500,Os05g0302700,0.4277
Os01g0141100,Os06g0608300,0.084
Os06g0699900,Os09g0568400,0.2876
Os06g0699900,Os03g0234200,0.3297
Os07g0246300,Os03g0715500,0.3606
Os02g0649300,Os05g0594800,-0.0717
Os06g0176000,Os03g0715500,0.2833
Os01g0851700,Os07g0517300,-0.2728
Os01g0851700,Os01g0918200,-0.1671
Os01g0851700,Os05g0349500,0.2975
Os01g0851700,Os03g0715500,0.0071
Os07g0575100,Os06g0105400,-0.0773
Os02g0300700,Os12g0497400,-0.1886
Os02g0300700,Os04g0654700,-0.3951
Os02g0300700,Os02g0127700,-0.1554
Os03g0652100,Os03g0197400,0.4743
Os03g0841800,Os06g0109400,0.246
Os01g0252100,Os06g0109400,0.4416
Os04g0504800,Os07g0517300,0.4858
Os09g0115400,Os09g0547200,0.2795
Os08g0314800,Os09g0547200,0.2138
Os04g0504800,Os09g0547200,0.4693
Os01g0958900,Os02g0592300,0.733
Os03g0798600,Os10g0111400,-0.2825
Os07g0184300,Os10g0111400,-0.2986
Os03g0798600,Os04g0654700,0.7316
Os07g0184300,Os04g0654700,0.7185
Os04g0691500,Os03g0748400,-0.3301
Os01g0120800,Os03g0748400,0.6304
Os03g0343500,Os09g0455400,0.3711
Os06g0708900,Os02g0199900,0.0364
Os01g0805600,Os03g0748400,0.4008
Os05g0493500,Os03g0748400,0.3911
Os03g0109600,Os05g0373700,0.7744
Os03g0851000,Os05g0373700,0.9078
Os01g0746200,Os03g0748400,0.4812
Os02g0528200,Os03g0748400,0.1188
Os08g0538000,Os03g0748400,0.3288
Os01g0276100,Os10g0564900,0.3139
Os02g0456000,Os06g0608300,-0.0542
Os02g0456000,Os02g0757900,-0.1679
Os02g0456000,Os06g0219600,-0.2198
Os02g0456000,Os12g0538900,0.0876
Os02g0456000,Os02g0273700,-0.1851
Os02g0456000,Os06g0332400,-0.1434
Os04g0533000,Os04g0661800,0.5971
Os01g0141100,Os03g0748400,-0.1561
Os01g0141100,Os06g0116800,-0.0337
Os01g0625200,Os06g0116800,-0.1198
Os03g0186500,Os04g0533000,-0.1763
Os10g0467600,Os03g0715500,0.2749
Os03g0715500,Os08g0113200,0.3841
Os03g0715500,Os05g0235800,0.0815
Os01g0775300,Os03g0118800,-0.0856
Os02g0100100,Os03g0798600,0.4794
Os02g0100100,Os07g0184300,0.4365
Os07g0532500,Os11g0707700,-0.3576
Os03g0163500,Os06g0583400,-0.0654
Os07g0662500,Os12g0538900,0.3928
Os03g0565500,Os06g0714000,-0.0561
Os05g0101200,Os06g0681400,0.5413
Os05g0101200,Os09g0568400,0.0573
Os03g0792600,Os08g0137100,0.2568
Os02g0506500,Os10g0205200,0.259
Os02g0126700,Os11g0657300,0.6576
Os01g0256900,Os08g0177700,0.72
Os05g0389300,Os08g0177700,0.7857
Os01g0708600,Os02g0613600,0.4505
Os01g0918200,Os10g0536000,0.0162
Os01g0918300,Os10g0536000,0.6001
Os01g0918200,Os01g0918300,0.3254
Os07g0114400,Os10g0564900,0.7176
Os05g0463800,Os08g0496500,0.4942
Os05g0463800,Os06g0667100,0.3636
Os01g0834400,Os06g0667100,-0.151
Os05g0486700,Os05g0204900,0.46
Os02g0220600,Os09g0372400,0.6417
Os09g0528300,Os05g0151000,0.3738
Os04g0661800,Os09g0528300,-0.3352
Os04g0661800,Os05g0151000,-0.2674
Os05g0151000,Os06g0217500,-0.2408
Os03g0387100,Os09g0538200,0.7206
Os03g0387100,Os08g0548900,0.5932
Os01g0659200,Os04g0601700,0.7876
Os04g0485100,Os09g0249700,0.4601
Os05g0155500,Os06g0187000,0.2603
Os07g0517300,Os07g0575100,0.2062
Os06g0116800,Os05g0143400,-0.0381
Os03g0717600,Os08g0468300,0.4492
Os01g0625200,Os07g0172500,0.294
Os07g0517300,Os08g0532300,0.2575
Os03g0748400,Os07g0246300,0.399
Os04g0654700,Os07g0246300,0.3651
Os07g0517300,Os09g0115400,0.3549
Os07g0517300,Os08g0314800,0.3131
Os01g0120800,Os10g0569200,0.8075
Os05g0349500,Os05g0574500,0.6554
Os04g0507500,Os10g0422000,0.2657
Os03g0748400,Os12g0507200,0.2864
Os03g0748400,Os07g0112800,0.4355
Os02g0245000,Os07g0209000,0.1661
Os01g0683100,Os05g0566500,0.462
Os04g0394200,Os07g0695800,0.6097
Os06g0233400,Os09g0568200,0.1538
Os03g0640100,Os11g0533500,0.444
Os03g0640100,Os06g0583400,0.5405
Os10g0476600,Os12g0538900,0.5134
Os04g0440000,Os09g0481400,0.0769
Os12g0538900,Os03g0387100,0.352
Os02g0812400,Os01g0918200,0.0044
Os03g0128500,Os12g0188700,-0.7207
Os09g0560900,Os12g0538900,0.1268
Os09g0481400,Os03g0796501,0.1118
Os03g0131300,Os11g0293900,-0.2188
Os10g0573700,Os11g0187200,-0.05
Os09g0481400,Os04g0682300,0.2279
Os03g0267000,Os11g0153800,-0.0978
Os03g0267000,Os09g0568800,-0.0043
Os04g0438700,Os03g0267000,-0.0033
Os01g0959000,Os02g0610600,0.8118
Os03g0153000,Os02g0610600,0.6905
Os02g0759800,Os08g0559400,0.7582
Os04g0642100,Os08g0155000,0.4274
Os12g0502400,Os09g0521500,0.2923
Os05g0235800,Os12g0581800,0.8818
Os05g0235800,Os12g0502300,0.8018
Os11g0615800,Os09g0538200,0.2952
Os02g0663800,Os03g0718100,0.2127
Os03g0718100,Os07g0484200,0.0713
Os03g0718100,Os12g0628100,-0.2132
Os01g0964133,Os02g0663800,0.2124
Os01g0964133,Os07g0484200,0.0017
Os01g0964133,Os12g0628100,-0.4461
Os05g0235800,Os07g0176900,-0.5318
Os03g0736000,Os03g0652100,0.6054
Os03g0640400,Os03g0737800,0.315
Os10g0457500,Os03g0267000,-0.1067
Os07g0691700,Os02g0235000,-0.1819
Os09g0481400,Os04g0414300,0.0323
Os07g0644300,Os02g0602500,0.4078
Os01g0761300,Os09g0481400,0.2484
Os10g0415600,Os07g0236800,0.2244
Os03g0607600,Os05g0235800,0.8096
Os06g0275900,Os02g0199900,0.1941
Os02g0102700,Os03g0249300,0.6114
Os02g0102700,Os10g0170000,0.7666
Os03g0240800,Os03g0249300,0.5936
Os03g0240800,Os10g0170000,0.8212
Os02g0126700,Os03g0249300,0.7427
Os03g0249300,Os03g0410900,0.6084
Os10g0170000,Os03g0410900,0.7295
Os02g0608700,Os09g0481400,0.1489
Os09g0481400,Os02g0684500,0.3246
Os09g0481400,Os05g0466600,0.2802
Os09g0481400,Os10g0539500,0.0151
Os09g0481400,Os05g0462700,0.1131
Os09g0481400,Os10g0564900,0.0651
Os10g0564900,Os03g0170600,0.0156
Os02g0266100,Os12g0538900,0.2094
Os03g0123100,Os05g0125000,0.5255
Os03g0123100,Os03g0719100,0.0177
Os02g0217500,Os06g0489200,0.3472
Os10g0466300,Os09g0481400,0.0663
Os02g0601100,Os03g0748700,0.4936
Os12g0538900,Os02g0622500,-0.0597
Os12g0538900,Os01g0858500,0.368
Os01g0918200,Os04g0110300,0.4729
Os09g0556000,Os09g0481400,0.0485
Os03g0268000,Os02g0791200,0.0764
Os12g0580300,Os06g0562600,0.3338
Os03g0835800,Os03g0161800,0.2189
Os10g0485000,Os03g0204100,-0.1516
Os09g0359800,Os08g0129200,0.7397
Os02g0543400,Os06g0489200,0.361
Os04g0674400,Os09g0481400,0.1029
Os11g0642800,Os01g0369700,0.3644
Os11g0642800,Os01g0371500,-0.2295
Os11g0642800,Os01g0370200,-0.3324
Os09g0394100,Os09g0481400,-0.1074
Os12g0561900,Os11g0187200,-0.1362
Os05g0527800,Os11g0187200,0.0279
Os07g0250100,Os11g0187200,0.2629
Os07g0201500,Os11g0187200,0.0169
Os01g0865400,Os11g0187200,-0.0023
Os09g0119600,Os11g0187200,0.1787
Os03g0212000,Os11g0187200,0.2467
Os01g0638600,Os11g0187200,0.1399
Os01g0734800,Os11g0187200,0.0242
Os03g0702000,Os11g0187200,0.1394
Os01g0736100,Os11g0187200,0.0564
Os01g0735900,Os11g0187200,0.1576
Os04g0206700,Os11g0187200,0.1715
Os11g0112300,Os03g0640400,0.347
Os09g0539500,Os11g0456300,0.3472
Os03g0267000,Os12g0143100,0.1461
Os03g0267000,Os11g0145400,0.0169
Os12g0143100,Os05g0349500,0.3813
Os11g0145400,Os05g0349500,0.3556
Os12g0538300,Os03g0225600,0.4101
Os09g0481400,Os04g0103200,0.1328
Os09g0568200,Os08g0496500,0.0664
Os08g0241400,Os01g0256400,-0.2753
Os07g0129700,Os06g0168000,0.4353
Os01g0867700,Os01g0610500,0.6885
Os09g0424300,Os12g0502500,0.2943
Os02g0608700,Os03g0410900,0.2561
Os09g0409950,Os09g0481400,-0.2161
Os09g0481400,Os03g0319100,0.0126
Os04g0642100,Os03g0851200,-0.6155
Os03g0262900,Os01g0976000,0.2367
Os01g0976000,Os01g0227300,0.4404
Os03g0748400,Os10g0182000,0.3973
Os03g0748400,Os07g0411200,0.4996
Os06g0116800,Os06g0143900,0.0106
Os01g0683100,Os03g0401100,-0.3912
Os01g0227300,Os08g0546700,0.1064
Os01g0227300,Os04g0569300,0.2324
Os10g0564900,Os03g0143800,0.3899
Os03g0737600,Os09g0504400,0.2034
Os03g0737600,Os11g0615800,0.5065
Os03g0737600,Os05g0437300,0.7611
Os03g0737600,Os02g0137400,0.5769
Os03g0737600,Os07g0679300,-0.187
Os03g0737600,Os02g0830801,0.4132
Os01g0958000,Os12g0485400,0.6369
Os07g0496000,Os04g0349500,0.7236
Os07g0496000,Os02g0489400,0.7294
Os03g0191400,Os04g0349500,-0.2444
Os03g0191400,Os02g0489400,-0.1238
Os07g0496000,Os10g0184300,0.6944
Os03g0191400,Os10g0184300,0.01
Os06g0551400,Os08g0116500,0.4176
Os03g0294600,Os01g0268100,-0.1631
Os12g0568800,Os01g0268100,-0.1312
Os02g0205300,Os03g0644000,0.2568
Os06g0502900,Os03g0205000,0.2446
Os06g0502900,Os03g0750800,0.0722
Os06g0502900,Os11g0643700,0.3099
Os06g0502900,Os11g0146700,0.2455
Os06g0502900,Os04g0382100,0.2812
Os02g0102700,Os02g0519900,0.4688
Os02g0102700,Os04g0118400,0.4737
Os03g0717600,Os05g0289400,0.7074
Os03g0717600,Os03g0750800,0.8241
Os03g0717600,Os08g0119000,0.5911
Os03g0717600,Os12g0538900,0.4836
Os02g0690700,Os02g0827300,0.4983
Os05g0155500,Os08g0116500,0.8149
Os10g0392650,Os10g0404900,-0.2721
Os09g0513800,Os10g0494500,-0.1657
Os09g0559000,Os10g0494500,-0.1006
Os05g0383100,Os10g0521000,0.2241
Os11g0456300,Os05g0289400,0.5276
Os11g0456300,Os02g0611450,0.3264
Os11g0456300,Os02g0621700,0.4376
Os11g0456300,Os12g0552700,0.2144
Os11g0456300,Os04g0548300,0.0038
Os11g0456300,Os06g0105500,0.0536
Os11g0456300,Os11g0641200,0.2106
Os10g0397200,Os12g0140266,-0.3118
Os09g0544300,Os12g0163800,0.1888
Os02g0120100,Os09g0544300,0.4252
Os02g0120100,Os12g0163800,-0.0852
Os01g0135800,Os02g0718900,-0.1407
Os07g0437500,Os07g0114400,-0.0811
Os07g0437500,Os10g0512800,-0.1334
Os07g0437500,Os03g0297100,0.0018
Os07g0437500,Os12g0224000,-0.2889
Os04g0403300,Os09g0115400,0.4643
Os07g0114400,Os05g0341600,-0.1741
Os10g0564900,Os04g0349500,0.8177
Os10g0564900,Os02g0489400,0.717
Os08g0116500,Os12g0133050,0.4578
Os08g0116500,Os05g0147400,0.508
Os01g0964133,Os05g0553000,0.5335
Os05g0237400,Os07g0114400,-0.2888
Os05g0237400,Os03g0231000,0.094
Os05g0237400,Os07g0123700,0.0062
Os12g0502300,Os05g0455200,0.499
Os12g0502300,Os11g0158600,-0.6024
Os12g0502300,Os05g0437300,0.656
Os12g0502300,Os07g0679300,0.1785
Os05g0289400,Os05g0155500,0.5107
Os05g0289400,Os06g0730800,0.5977
Os05g0289400,Os11g0166800,-0.0809
Os05g0289400,Os10g0427600,-0.1898
Os09g0115400,Os03g0570300,0.4068
Os02g0128800,Os10g0512800,0.6763
Os02g0128800,Os07g0490800,0.5319
Os02g0128800,Os02g0564500,0.3672
Os03g0118400,Os09g0504400,-0.2277
Os03g0118400,Os03g0746600,0.2665
Os03g0118400,Os08g0178300,-0.0547
Os03g0118400,Os05g0521500,0.0123
Os06g0574500,Os06g0688100,0.4294
Os06g0574500,Os10g0494500,0.3645
Os09g0504400,Os10g0580300,0.371
Os03g0403100,Os03g0798200,0.4521
Os04g0435700,Os10g0494500,-0.2565
Os02g0596900,Os08g0451000,0.5803
Os02g0596900,Os05g0556900,0.3109
Os02g0596900,Os05g0555800,0.5279
Os03g0337800,Os08g0150800,0.6303
Os01g0600200,Os06g0140100,0.3402
Os02g0224200,Os06g0140100,0.3399
Os03g0387100,Os05g0552300,0.6346
Os02g0148100,Os03g0764300,0.2916
Os03g0123500,Os05g0552300,-0.2687
Os03g0123500,Os08g0480500,-0.3908
Os03g0123500,Os08g0318500,-0.112
Os06g0252300,Os07g0597100,0.4216
Os06g0252300,Os11g0433500,0.2652
Os06g0252300,Os09g0266400,0.192
Os03g0296400,Os06g0670500,0.2078
Os08g0565700,Os11g0155900,0.4542
Os08g0565700,Os05g0438700,0.6645
Os08g0565700,Os06g0159450,0.5755
Os08g0565700,Os06g0160100,0.6561
Os08g0565700,Os12g0540800,0.4179
Os03g0298800,Os05g0535500,0.5249
Os01g0269900,Os02g0641800,0.1797
Os01g0269900,Os03g0200500,0.1331
Os01g0269900,Os06g0712900,-0.0575
Os01g0269900,Os01g0813900,0.0083
Os03g0268000,Os08g0326100,-0.0145
Os03g0381200,Os11g0244200,-0.1404
Os03g0381200,Os09g0482100,0.4113
Os03g0381200,Os08g0500700,0.2631
Os03g0381200,Os08g0116500,0.3878
Os03g0381200,Os03g0139100,0.3112
Os03g0381200,Os02g0814700,0.5554
Os03g0381200,Os10g0466700,0.553
Os03g0381200,Os03g0586800,0.4034
Os03g0381200,Os06g0583400,0.3713
Os03g0381200,Os05g0129900,0.4354
Os03g0381200,Os04g0271000,0.505
Os03g0381200,Os04g0684500,-0.1726
Os03g0381200,Os05g0455700,0.2855
Os03g0381200,Os07g0414800,0.6004
Os03g0381200,Os01g0851700,0.1965
Os02g0221500,Os07g0597100,0.2858
Os01g0858500,Os01g0964133,0.2154
Os01g0858500,Os08g0169700,0.1509
Os01g0858500,Os02g0655500,-0.2715
Os01g0858500,Os03g0198500,0.3064
Os05g0292200,Os04g0349500,0.3402
Os01g0659200,Os01g0658400,0.6157
Os01g0659200,Os11g0660500,0.606
Os01g0659200,Os09g0323500,-0.1263
Os01g0659200,Os06g0681400,0.5499
Os01g0267900,Os07g0670600,0.3079
Os05g0491100,Os07g0670600,0.3195
Os03g0319300,Os07g0670600,0.2187
Os01g0267900,Os03g0683833,-0.1595
Os03g0319300,Os03g0683833,-0.2304
Os02g0797400,Os02g0830801,0.4409
Os02g0281000,Os05g0552300,-0.5494
Os02g0281000,Os03g0577000,-0.414
Os01g0685800,Os02g0312700,0.6606
Os07g0166600,Os10g0462900,0.7864
Os07g0166600,Os01g0281400,0.5705
Os07g0166600,Os04g0685600,0.5085
Os02g0327100,Os05g0556900,0.1055
Os02g0327100,Os05g0555800,0.281
Os07g0184900,Os02g0830801,0.5731
Os01g0256400,Os03g0337800,0.6148
Os01g0256400,Os01g0752300,0.7268
Os01g0256400,Os05g0565000,0.7597
Os01g0256400,Os07g0596300,0.2834
Os01g0256400,Os01g0847600,0.507
Os01g0256400,Os11g0660500,0.5187
Os01g0256400,Os02g0775400,0.4744
Os05g0562300,Os03g0417900,0.2959
Os01g0239100,Os03g0417900,0.2038
Os08g0478200,Os02g0245100,-0.178
Os03g0355600,Os03g0266300,0.1098
Os03g0355600,Os11g0244200,-0.3125
Os03g0355600,Os01g0135800,-0.2877
Os03g0355600,Os10g0498600,0.4403
Os07g0463100,Os03g0266300,0.5475
Os07g0463100,Os11g0244200,0.0588
Os07g0463100,Os01g0135800,-5.00E-04
Os07g0463100,Os09g0431500,0.4704
Os02g0611450,Os07g0295400,0.0712
Os02g0611450,Os04g0683100,-0.0938
Os06g0108900,Os10g0564900,-0.544
Os06g0108900,Os01g0587000,-0.2553
Os11g0455500,Os12g0485000,0.0566
Os07g0188800,Os05g0155500,0.4329
Os02g0805200,Os03g0780500,0.5018
Os03g0746600,Os08g0163100,0.1221
Os03g0750800,Os10g0392650,0.6463
Os03g0750800,Os03g0773150,0.6427
Os03g0750800,Os12g0508300,-0.408
Os03g0750800,Os07g0531600,0.4842
Os03g0750800,Os06g0574400,0.3682
Os03g0750800,Os02g0833300,0.1641
Os03g0750800,Os04g0382100,0.64
Os02g0717700,Os09g0488000,-0.0633
Os03g0810600,Os05g0289400,0.7941
Os03g0810600,Os11g0146700,0.6454
Os05g0210500,Os11g0244200,0.0502
Os01g0555800,Os05g0160200,-0.0282
Os08g0160000,Os11g0146700,0.7296
Os01g0192600,Os09g0571400,0.0949
Os01g0192600,Os02g0121300,-0.04
Os01g0192600,Os05g0562300,0.2092
Os01g0192600,Os01g0239100,-0.0228
Os01g0192600,Os04g0476400,0.1262
Os06g0217500,Os03g0233900,0.1295
Os06g0217500,Os05g0104800,0.5969
Os06g0217500,Os09g0394900,0.0996
Os03g0737800,Os05g0382000,0.066
Os09g0453800,Os05g0552300,0.1051
Os08g0119000,Os12g0538900,0.5604
Os01g0744400,Os02g0182800,-0.333
Os03g0157500,Os07g0507700,0.309
Os02g0834700,Os06g0325500,-0.3418
Os03g0268000,Os04g0349500,0.7612
Os03g0268000,Os02g0489400,0.5313
Os01g0105800,Os06g0134000,-0.0896
Os01g0105800,Os01g0555800,-0.0165
Os01g0105800,Os10g0494500,0.028
Os01g0105800,Os05g0227700,-0.2075
Os03g0726900,Os12g0636800,-0.3046
Os06g0583400,Os05g0566500,0.3524
Os04g0443500,Os05g0459900,0.4987
Os10g0396300,Os05g0511400,0.2233
Os07g0281000,Os03g0205000,0.1986
Os07g0281000,Os05g0493500,0.1668
Os05g0382000,Os12g0235800,0.0274
Os05g0382000,Os06g0300800,0.19
Os05g0382000,Os10g0579300,0.2049
Os05g0382000,Os09g0249600,-0.098
Os01g0818300,Os03g0815700,-0.2245
Os01g0818300,Os02g0722700,-0.3326
Os02g0722700,Os03g0815700,0.2809
Os09g0517700,Os11g0643700,0.0299
Os09g0517700,Os01g0948400,0.1518
Os09g0517700,Os03g0223700,0.1176
Os09g0517700,Os06g0139700,0.2451
Os07g0626600,Os08g0323000,0.2938
Os04g0547900,Os03g0737600,-0.2966
Os04g0547900,Os09g0284200,-0.2535
Os04g0547900,Os05g0289400,-0.19
Os04g0547900,Os03g0334000,-0.2605
Os04g0547900,Os02g0611450,-0.0117
Os04g0547900,Os11g0615800,-0.2201
Os04g0547900,Os02g0805200,-0.3699
Os04g0547900,Os03g0153000,-0.038
Os04g0547900,Os05g0463800,0.0258
Os04g0547900,Os08g0119000,-0.1577
Os04g0547900,Os02g0137400,-0.1554
Os04g0547900,Os08g0178300,-0.2266
Os04g0547900,Os06g0181100,-0.2082
Os04g0547900,Os05g0521500,-0.3339
Os04g0547900,Os09g0467100,0.1211
Os04g0547900,Os12g0538300,-0.3238
Os04g0547900,Os02g0830801,-0.2156
Os04g0547900,Os02g0181800,0.1069
Os09g0528300,Os07g0687200,-0.5917
Os09g0528300,Os01g0267900,-0.5793
Os09g0528300,Os05g0491100,-0.476
Os09g0528300,Os03g0319300,-0.4958
Os01g0907300,Os02g0586400,0.2574
Os01g0907300,Os03g0277300,-0.0122
Os01g0907300,Os01g0777000,0.2388
Os01g0907300,Os05g0187000,0.5293
Os04g0486800,Os06g0635300,0.1382
Os04g0486800,Os09g0103100,-0.2388
Os04g0486800,Os11g0615800,0.2946
Os04g0486800,Os08g0561700,-0.4177
Os04g0486800,Os02g0621700,-0.0969
Os04g0486800,Os07g0679300,-0.0579
Os03g0197400,Os06g0538000,0.8049
Os03g0197400,Os04g0212200,0.4733
Os03g0197400,Os05g0301700,0.6026
Os03g0197400,Os05g0287800,0.0513
Os03g0197400,Os12g0538900,0.6099
Os02g0150100,Os05g0493500,-0.4422
Os05g0129900,Os09g0482100,0.3891
Os05g0129900,Os08g0500700,0.4136
Os05g0129900,Os02g0179300,0.5611
Os01g0928800,Os03g0277300,0.0378
Os01g0928800,Os05g0160200,0.4847
Os01g0928800,Os08g0505300,0.4581
Os01g0928800,Os11g0127900,0.498
Os01g0928800,Os12g0124200,0.5105
Os03g0669100,Os03g0718100,0.5631
Os02g0612300,Os09g0476100,-0.027
Os02g0537700,Os06g0714100,-0.0838
Os04g0683500,Os06g0134000,0.1477
Os02g0728600,Os04g0118400,0.4831
Os02g0728600,Os10g0188100,0.2933
Os06g0274200,Os10g0188100,0.3134
Os02g0728600,Os03g0249200,-0.0128
Os06g0274200,Os03g0249200,-0.404
Os02g0179300,Os09g0249600,0.6279
Os02g0179300,Os07g0119000,-0.6457
Os02g0179300,Os04g0476400,0.779
Os04g0476700,Os10g0494500,0.0487
Os02g0772000,Os10g0494500,0.1642
Os03g0225600,Os02g0749500,0.6132
Os06g0688100,Os01g0256900,0.4119
Os03g0754900,Os06g0728000,0.111
Os03g0754900,Os10g0494500,0.2541
Os03g0194400,Os03g0266300,0.3538
Os03g0194400,Os11g0244200,-0.1012
Os03g0194400,Os11g0169900,0.1914
Os03g0194400,Os05g0364600,0.1182
Os03g0194400,Os02g0564400,-0.5768
Os01g0687500,Os03g0717600,-0.1739
Os05g0489100,Os12g0502400,0.517
